Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
12:00:00 AM,10.0,Tuesday,31.0,0.0,4.0,,39.0,low
12:15:00 AM,10.0,Tuesday,49.0,0.0,3.0,3.0,55.0,
12:30:00 AM,10.0,Tuesday,46.0,0.0,3.0,6.0,55.0,low
12:45:00 AM,10.0,Tuesday,51.0,0.0,2.0,5.0,,
1:00:00 AM,10.0,Tuesday,57.0,6.0,15.0,16.0,94.0,normal
1:15:00 AM,10.0,Tuesday,44.0,0.0,5.0,4.0,,low
1:30:00 AM,10.0,Tuesday,37.0,0.0,1.0,4.0,42.0,low
1:45:00 AM,10.0,Tuesday,42.0,4.0,4.0,5.0,55.0,low
2:00:00 AM,10.0,Tuesday,,0.0,9.0,7.0,67.0,low
2:15:00 AM,10.0,Tuesday,34.0,0.0,4.0,7.0,45.0,low
2:30:00 AM,10.0,Tuesday,45.0,0.0,1.0,,47.0,low
,10.0,Tuesday,45.0,0.0,1.0,3.0,49.0,low
3:00:00 AM,10.0,Tuesday,50.0,0.0,3.0,0.0,53.0,low
3:15:00 AM,10.0,Tuesday,34.0,0.0,4.0,4.0,42.0,low
3:30:00 AM,,Tuesday,129.0,22.0,42.0,1.0,194.0,heavy
3:45:00 AM,10.0,Tuesday,144.0,16.0,49.0,0.0,209.0,heavy
4:00:00 AM,10.0,Tuesday,,28.0,20.0,,162.0,normal
4:15:00 AM,10.0,Tuesday,67.0,11.0,10.0,16.0,104.0,normal
4:30:00 AM,10.0,Tuesday,65.0,24.0,,16.0,112.0,normal
4:45:00 AM,10.0,Tuesday,94.0,27.0,7.0,16.0,144.0,normal
5:00:00 AM,10.0,Tuesday,94.0,20.0,8.0,7.0,129.0,normal
5:15:00 AM,10.0,Tuesday,67.0,29.0,,10.0,,low
5:30:00 AM,,Tuesday,56.0,12.0,2.0,14.0,84.0,normal
5:45:00 AM,10.0,Tuesday,57.0,13.0,3.0,11.0,84.0,low
6:00:00 AM,10.0,Tuesday,129.0,22.0,,1.0,194.0,heavy
6:15:00 AM,10.0,Tuesday,144.0,16.0,,0.0,209.0,heavy
6:30:00 AM,10.0,Tuesday,111.0,28.0,20.0,3.0,162.0,normal
,10.0,Tuesday,120.0,,46.0,3.0,,heavy
7:00:00 AM,10.0,Tuesday,102.0,39.0,47.0,1.0,,heavy
,10.0,Tuesday,145.0,23.0,27.0,0.0,195.0,heavy
7:30:00 AM,10.0,Tuesday,114.0,,21.0,5.0,177.0,heavy
7:45:00 AM,,Tuesday,108.0,,22.0,1.0,149.0,normal
8:00:00 AM,10.0,Tuesday,122.0,28.0,33.0,1.0,184.0,heavy
8:15:00 AM,10.0,Tuesday,114.0,39.0,30.0,3.0,186.0,heavy
8:30:00 AM,10.0,Tuesday,150.0,36.0,25.0,,212.0,heavy
8:45:00 AM,10.0,Tuesday,107.0,10.0,49.0,2.0,168.0,
9:00:00 AM,10.0,Tuesday,124.0,24.0,22.0,0.0,170.0,heavy
9:15:00 AM,10.0,Tuesday,77.0,16.0,39.0,29.0,161.0,
9:30:00 AM,10.0,Tuesday,,,30.0,21.0,89.0,normal
9:45:00 AM,10.0,Tuesday,32.0,22.0,38.0,21.0,113.0,high
10:00:00 AM,10.0,Tuesday,68.0,13.0,29.0,24.0,134.0,high
10:15:00 AM,10.0,Tuesday,27.0,16.0,36.0,30.0,109.0,normal
10:30:00 AM,10.0,,76.0,,11.0,15.0,,normal
10:45:00 AM,10.0,Tuesday,41.0,23.0,20.0,17.0,101.0,normal
11:00:00 AM,,Tuesday,33.0,10.0,,29.0,75.0,normal
11:15:00 AM,10.0,Tuesday,58.0,,14.0,29.0,109.0,normal
11:30:00 AM,10.0,Tuesday,65.0,7.0,11.0,26.0,109.0,normal
,10.0,Tuesday,47.0,9.0,,29.0,,normal
12:00:00 PM,10.0,Tuesday,38.0,10.0,5.0,,78.0,normal
